#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
NA,Asia,"887,257","+23,799","26,244",+391,"515,737","345,276","4,867",,,,,,Asia
NA,North America,"1,795,200","+32,399","109,795","+1,978","480,935","1,204,470","19,046",,,,,,North America
NA,Europe,"1,848,322","+17,655","166,805","+1,007","826,641","854,876","10,751",,,,,,Europe
NA,South America,"548,624","+28,536","28,078","+1,453","206,440","314,106","10,657",,,,,,South America
NA,Africa,"101,684","+4,694","3,115",+105,"40,588","57,981",285,,,,,,Africa
NA,Oceania,"8,688",+2,121,,"8,025",542,10,,,,,,Australia/Oceania
NA,,721,,15,,651,55,4,,,,,,
NA,World,"5,190,496","+107,085","334,173","+4,934","2,079,017","2,777,306","45,620",666,42.9,,,,All
1,China,"82,967",+2,"4,634",,"78,249",84,8,58,3,,,"1,439,323,776",Asia
2,USA,"1,620,902","+28,179","96,354","+1,418","382,169","1,142,379","17,902","4,900",291,"13,439,114","40,627","330,790,544",North America
3,Russia,"317,554","+8,849","3,099",+127,"92,681","221,774","2,300","2,176",21,"7,840,880","53,731","145,927,804",Europe
4,Brazil,"310,921","+17,564","20,082","+1,188","125,960","164,879","8,318","1,464",95,"735,224","3,462","212,393,298",South America
5,Spain,"280,117",+593,"27,940",+52,"196,958","55,219","1,152","5,991",598,"3,037,840","64,977","46,752,851",Europe
6,UK,"250,908","+2,615","36,042",+338,N/A,N/A,"1,559","3,698",531,"3,090,566","45,552","67,847,158",Europe
7,Italy,"228,006",+642,"32,486",+156,"134,560","60,960",640,"3,770",537,"3,243,398","53,635","60,471,198",Europe
8,France,"181,826",+251,"28,215",+83,"63,858","89,753","1,745","2,786",432,"1,384,633","21,218","65,258,007",Europe
9,Germany,"179,021",+490,"8,309",+39,"158,000","12,712","1,016","2,137",99,"3,595,059","42,923","83,755,045",Europe
10,Turkey,"153,548",+961,"4,249",+27,"114,990","34,309",820,"1,823",50,"1,729,988","20,537","84,237,509",Asia
11,Iran,"129,341","+2,392","7,249",+66,"100,564","21,528","2,655","1,542",86,"746,045","8,895","83,871,454",Asia
12,India,"118,226","+6,198","3,584",+150,"48,553","66,089",,86,3,"2,615,920","1,898","1,378,492,893",Asia
13,Peru,"108,769","+4,749","3,148",+124,"43,587","62,034",886,"3,304",96,"736,500","22,373","32,919,665",South America
14,Canada,"81,324","+1,182","6,152",+121,"41,715","33,457",502,"2,157",163,"1,377,146","36,524","37,705,478",North America
15,Saudi Arabia,"65,077","+2,532",351,+12,"36,040","28,686",281,"1,873",10,"651,158","18,737","34,751,777",Asia
16,Chile,"57,581","+3,964",589,+45,"23,992","33,000",943,"3,015",31,"426,003","22,306","19,098,031",South America
17,Mexico,"56,594","+2,248","6,090",+424,"38,876","11,628",378,439,47,"185,755","1,442","128,781,349",North America
18,Belgium,"56,235",+252,"9,186",+36,"14,988","32,061",277,"4,854",793,"739,146","63,807","11,584,152",Europe
19,Pakistan,"48,091","+2,193","1,017",+32,"14,155","32,919",111,218,5,"429,600","1,949","220,392,002",Asia
20,Netherlands,"44,700",+253,"5,775",+27,N/A,N/A,255,"2,609",337,"302,395","17,652","17,130,802",Europe
21,Qatar,"38,651","+1,554",17,+1,"7,288","31,346",171,"13,442",6,"175,482","61,028","2,875,446",Asia
22,Ecuador,"35,306",+452,"2,939",+51,"3,557","28,810",191,"2,005",167,"101,580","5,768","17,612,428",South America
23,Belarus,"33,371",+945,185,+6,"12,057","21,129",92,"3,531",20,"403,236","42,672","9,449,653",Europe
24,Sweden,"32,172",+649,"3,871",+40,"4,971","23,330",352,"3,188",384,"209,900","20,798","10,092,371",Europe
25,Switzerland,"30,694",+36,"1,898",+6,"27,900",896,55,"3,549",219,"361,692","41,825","8,647,657",Europe
26,Portugal,"29,912",+252,"1,277",+14,"6,452","22,183",93,"2,933",125,"674,000","66,080","10,199,821",Europe
27,Singapore,"29,812",+448,23,+1,"12,117","17,672",10,"5,100",4,"294,414","50,368","5,845,265",Asia
28,Bangladesh,"28,511","+1,773",408,+22,"5,602","22,501",1,173,2,"214,114","1,302","164,506,480",Asia
29,UAE,"26,898",+894,237,+4,"12,755","13,906",1,"2,723",24,"1,600,923","162,087","9,876,944",Asia
30,Ireland,"24,391",+76,"1,583",+12,"21,060","1,748",54,"4,946",321,"295,626","59,945","4,931,601",Europe
31,Indonesia,"20,162",+973,"1,278",+36,"4,838","14,046",,74,5,"219,975",805,"273,200,237",Asia
32,Poland,"20,143",+404,972,+10,"8,452","10,719",160,532,26,"697,230","18,420","37,850,989",Europe
33,Ukraine,"19,706",+476,579,+15,"6,227","12,900",249,450,13,"257,890","5,893","43,760,843",Europe
34,South Africa,"19,137","+1,134",369,+30,"8,950","9,818",119,323,6,"525,433","8,872","59,224,262",Africa
35,Kuwait,"18,609","+1,041",129,+5,"5,205","13,275",181,"4,365",30,"261,071","61,236","4,263,365",Asia
36,Colombia,"18,330",+643,652,+22,"4,431","13,247",136,361,13,"214,536","4,221","50,822,230",South America
37,Romania,"17,585",+198,"1,156",+9,"10,581","5,848",203,913,60,"342,466","17,790","19,250,875",Europe
38,Israel,"16,683",+16,279,,"13,724","2,680",47,"1,931",32,"524,584","60,716","8,640,028",Asia
39,Japan,"16,424",+39,777,+6,"12,672","2,975",195,130,6,"261,572","2,067","126,516,956",Asia
40,Austria,"16,404",+51,633,,"14,951",820,32,"1,823",70,"385,637","42,845","9,000,787",Europe
41,Egypt,"15,003",+774,696,+16,"4,217","10,090",41,147,7,"135,000","1,322","102,109,848",Africa
42,Dominican Republic,"13,657",+180,448,+2,"7,366","5,843",113,"1,260",41,"61,330","5,660","10,835,780",North America
43,Philippines,"13,434",+213,846,+4,"3,000","9,588",81,123,8,"267,417","2,444","109,415,846",Asia
44,Denmark,"11,182",+65,561,+7,"9,643",978,23,"1,931",97,"504,266","87,093","5,789,998",Europe
45,S. Korea,"11,122",+12,264,+1,"10,135",723,15,217,5,"788,684","15,385","51,264,480",Asia
46,Serbia,"10,919",+86,237,+2,"5,370","5,312",12,"1,249",27,"203,799","23,315","8,741,034",Europe
47,Panama,"10,116",+139,291,+4,"6,245","3,580",72,"2,349",68,"53,928","12,521","4,306,982",North America
48,Argentina,"9,931",+648,416,+13,"3,032","6,483",171,220,9,"116,689","2,584","45,149,718",South America
49,Czechia,"8,754",+33,306,+2,"5,926","2,522",36,818,29,"379,750","35,468","10,706,852",Europe
50,Afghanistan,"8,676",+531,193,+6,938,"7,545",19,223,5,"26,707",688,"38,824,552",Asia
51,Norway,"8,309",+28,235,+1,32,"8,042",14,"1,534",43,"223,045","41,178","5,416,564",Europe
52,Bahrain,"8,174",+286,12,,"3,873","4,289",9,"4,825",7,"262,107","154,713","1,694,155",Asia
53,Algeria,"7,728",+186,575,+7,"4,062","3,091",22,177,13,,,"43,759,272",Africa
54,Kazakhstan,"7,234",+265,35,,"3,843","3,356",31,386,2,"591,502","31,544","18,751,427",Asia
55,Morocco,"7,211",+78,196,+2,"4,280","2,735",1,196,5,"112,997","3,065","36,861,343",Africa
56,Australia,"7,081",+2,100,,"6,472",509,9,278,4,"1,137,684","44,674","25,466,640",Australia/Oceania
