#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
NA,Asia,"1,163,795","+26,998","31,270",+493,"712,913","+18,050","419,612","13,653",,,,,,Asia,,,
NA,North America,"2,094,013","+27,585","125,668",+940,"756,451","+19,311","1,211,894","19,254",,,,,,North America,,,
NA,South America,"906,678","+28,734","41,090","+1,009","362,277","+9,671","503,311","11,398",,,,,,South America,,,
NA,Europe,"2,034,268","+14,487","174,654",+487,"993,956","+6,889","865,658","8,748",,,,,,Europe,,,
NA,Africa,"154,907","+6,132","4,369",+124,"65,931","+2,468","84,607",347,,,,,,Africa,,,
NA,Oceania,"8,814",+10,124,,"8,201",+5,489,3,,,,,,Australia/Oceania,,,
NA,,721,,15,,651,,55,4,,,,,,,,,
NA,World,"6,363,196","+103,946","377,190","+3,053","2,900,380","+56,394","3,085,626","53,407",816,48.4,,,,All,,,
1,China,"83,017",+16,"4,634",,"78,307",+3,76,3,58,3,,,"1,439,323,776",Asia,"17,338","310,601",
2,USA,"1,859,323","+22,153","106,925",+730,"615,416","+15,549","1,136,982","16,949","5,620",323,"18,150,053","54,859","330,848,770",North America,178,"3,094",18
3,Brazil,"529,405","+14,556","30,046",+732,"211,080","+4,525","288,279","8,318","2,492",141,"930,013","4,378","212,438,640",South America,401,"7,070",228
4,Russia,"414,878","+9,035","4,855",+162,"175,877","+3,994","234,146","2,300","2,843",33,"10,923,108","74,852","145,929,678",Europe,352,"30,058",13
5,Spain,"286,718",+209,"27,127",,N/A,N/A,N/A,617,"6,133",580,"4,063,843","86,921","46,753,394",Europe,163,"1,724",12
6,UK,"276,332","+1,570","39,045",+111,N/A,N/A,N/A,"1,559","4,072",575,"4,285,738","63,158","67,857,854",Europe,246,"1,738",16
7,Italy,"233,197",+200,"33,475",+60,"158,355",+848,"41,367",424,"3,857",554,"3,910,133","64,664","60,468,537",Europe,259,"1,806",15
8,India,"198,370","+7,761","5,608",+200,"95,754","+3,902","97,008","8,944",144,4,"3,837,207","2,783","1,378,900,337",Asia,"6,951","245,881",359
9,France,"189,220",+338,"28,833",+31,"68,440",+85,"91,947","1,302","2,899",442,"1,384,633","21,216","65,262,335",Europe,345,"2,263",47
10,Germany,"183,765",+271,"8,618",+13,"165,900",+700,"9,247",677,"2,194",103,"3,952,971","47,192","83,763,076",Europe,456,"9,720",21
11,Peru,"170,039","+5,563","4,634",+128,"68,507","+1,299","96,898",988,"5,163",141,"1,076,659","32,692","32,933,472",South America,194,"7,107",31
12,Turkey,"164,769",+827,"4,563",+23,"128,947",+974,"31,259",651,"1,955",54,"2,070,719","24,574","84,264,770",Asia,511,"18,467",41
13,Iran,"154,445","+2,979","7,878",+81,"121,004","+2,156","25,563","2,578","1,841",94,"955,865","11,392","83,903,764",Asia,543,"10,650",88
14,Chile,"105,159","+5,471","1,113",+59,"44,946","+2,219","59,100","1,446","5,505",58,"599,330","31,374","19,102,957",South America,182,"17,163",32
15,Canada,"91,705",+758,"7,326",+31,"49,726",+847,"34,653","1,648","2,431",194,"1,695,918","44,966","37,715,413",North America,411,"5,148",22
16,Mexico,"90,664","+3,152","9,930",+151,"64,326","+2,455","16,408",378,704,77,"270,992","2,104","128,822,037",North America,"1,421","12,973",475
17,Saudi Arabia,"87,142","+1,881",525,+22,"64,306","+1,864","22,311",384,"2,506",15,"822,769","23,664","34,768,083",Asia,399,"66,225",42
18,Pakistan,"72,460","+2,964","1,543",+60,"26,083",+812,"44,834",111,329,7,"561,136","2,545","220,521,124",Asia,"3,043","142,917",393
19,Belgium,"58,517",+136,"9,486",+19,"15,919",+32,"33,112",163,"5,051",819,"876,306","75,637","11,585,664",Europe,198,"1,221",13
20,Qatar,"58,433","+1,523",40,+2,"33,437","+3,147","24,956",240,"20,811",14,"225,919","80,461","2,807,805",Asia,48,"70,195",12
21,Bangladesh,"49,534","+2,381",672,+22,"10,597",+816,"38,265",1,301,4,"320,969","1,951","164,555,754",Asia,"3,322","244,875",513
22,Netherlands,"46,545",+103,"5,962",+6,N/A,N/A,N/A,158,"2,717",348,"349,496","20,400","17,131,938",Europe,368,"2,874",49
23,Belarus,"43,403",+847,240,+5,"18,776",+262,"24,387",92,"4,593",25,"553,377","58,561","9,449,559",Europe,218,"39,373",17
24,Ecuador,"39,994",+896,"3,394",+36,"19,823",+231,"16,777",220,"2,270",193,"117,524","6,670","17,620,485",South America,441,"5,192",150
25,Sweden,"37,814",+272,"4,403",+8,N/A,N/A,N/A,267,"3,746",436,"238,800","23,657","10,094,260",Europe,267,"2,293",42
26,Singapore,"35,292",+408,24,+1,"22,466",+767,"12,802",7,"6,036",4,"334,691","57,245","5,846,646",Asia,166,"243,610",17
27,UAE,"35,192",+635,266,+2,"18,338",+406,"16,588",1,"3,562",27,"2,110,493","213,601","9,880,535",Asia,281,"37,145",5
28,South Africa,"34,357","+1,674",705,+22,"17,291",+482,"16,361",128,580,12,"742,742","12,536","59,246,734",Africa,"1,724","84,038",80
29,Portugal,"32,700",+200,"1,424",+14,"19,552",+143,"11,724",64,"3,206",140,"812,415","79,657","10,198,931",Europe,312,"7,162",13
30,Switzerland,"30,871",+9,"1,920",,"28,500",,451,28,"3,569",222,"399,215","46,154","8,649,556",Europe,280,"4,505",22
31,Colombia,"30,493","+1,110",969,+30,"9,661","+1,118","19,863",136,600,19,"319,779","6,290","50,838,520",South America,"1,667","52,465",159
32,Kuwait,"27,762",+719,220,+8,"12,899","+1,513","14,643",204,"6,509",52,"290,013","67,994","4,265,264",Asia,154,"19,388",15
33,Indonesia,"26,940",+467,"1,641",+28,"7,637",+329,"17,662",,99,6,"333,415","1,220","273,287,113",Asia,"10,144","166,537",820
34,Egypt,"26,384","+1,399","1,005",+46,"6,447",+410,"18,932",41,258,10,"135,000","1,321","102,167,945",Africa,"3,872","101,660",757
35,Ireland,"25,062",+72,"1,650",,"22,089",,"1,323",36,"5,080",334,"325,795","66,041","4,933,258",Europe,197,"2,990",15
36,Poland,"24,165",+379,"1,074",+10,"11,449",+178,"11,642",160,638,28,"931,520","24,611","37,849,748",Europe,"1,566","35,242",41
37,Ukraine,"24,012",+340,718,+10,"9,690",+152,"13,604",283,549,16,"363,187","8,301","43,752,988",Europe,"1,822","60,937",120
38,Romania,"19,398",+141,"1,276",+10,"13,426",+170,"4,696",159,"1,008",66,"443,252","23,030","19,247,039",Europe,992,"15,084",43
39,Philippines,"18,638",+552,960,+3,"3,979",+70,"13,699",73,170,9,"358,676","3,277","109,459,685",Asia,"5,873","114,021",305
40,Dominican Republic,"17,572",+287,502,,"10,893",+334,"6,177",110,"1,621",46,"81,647","7,533","10,839,047",North America,617,"21,592",133
41,Argentina,"17,415",+564,556,+17,"5,521",+185,"11,338",274,386,12,"164,084","3,633","45,162,170",South America,"2,593","81,227",275
42,Israel,"17,169",+98,285,,"14,878",+66,"2,006",33,"1,867",31,"568,452","61,804","9,197,590",Asia,536,"32,272",16
43,Japan,"16,884",+33,892,+1,"14,502",+43,"1,490",115,133,7,"292,569","2,313","126,505,371",Asia,"7,493","141,822",432
44,Austria,"16,733",+2,668,,"15,596",+3,469,29,"1,859",74,"451,820","50,189","9,002,328",Europe,538,"13,477",20
45,Afghanistan,"15,750",+545,265,+8,"1,428",+100,"14,057",19,405,7,"39,628","1,020","38,850,966",Asia,"2,467","146,607",980
46,Panama,"13,837",+374,344,+8,"9,514",,"3,979",78,"3,211",80,"67,730","15,718","4,309,025",North America,311,"12,526",64
47,Oman,"12,223",+786,50,+1,"2,682",,"9,491",31,"2,399",10,"100,181","19,663","5,094,952",Asia,417,"101,899",51
48,Bahrain,"11,871",+473,19,,"7,070",+397,"4,782",11,"7,000",11,"322,054","189,897","1,695,942",Asia,143,"89,260",5
49,Denmark,"11,699",+30,576,+2,"10,412",+50,711,20,"2,020",99,"637,738","110,133","5,790,610",Europe,495,"10,053",9
50,S. Korea,"11,503",+35,271,+1,"10,422",+17,810,15,224,5,"921,391","17,973","51,265,802",Asia,"4,457","189,173",56
51,Serbia,"11,430",+18,244,+1,"6,726",+28,"4,460",9,"1,308",28,"247,760","28,348","8,739,982",Europe,765,"35,820",35
52,Kazakhstan,"11,308",+450,41,+1,"5,587",+183,"5,680",62,603,2,"828,377","44,161","18,758,176",Asia,"1,659","457,516",23
53,Nigeria,"10,578",+416,299,+12,"3,122",+115,"7,157",7,51,1,"63,882",311,"205,682,185",Africa,"19,444","687,900","3,220"
54,Bolivia,"9,982",+390,313,+3,968,+79,"8,701",3,856,27,"28,239","2,422","11,659,740",South America,"1,168","37,252",413
55,Algeria,"9,513",+119,661,+8,"5,894",+146,"2,958",25,217,15,,,"43,783,102",Africa,"4,602","66,238",
56,Armenia,"9,492",+210,139,+8,"3,402",+16,"5,951",10,"3,204",47,"58,668","19,801","2,962,815",Asia,312,"21,315",51
57,Czechia,"9,302",+34,321,+1,"6,642",+84,"2,339",15,869,30,"442,866","41,361","10,707,447",Europe,"1,151","33,357",24
58,Norway,"8,446",+6,236,,"7,727",,483,8,"1,559",44,"245,352","45,286","5,417,837",Europe,641,"22,957",22
59,Moldova,"8,360",+109,305,+10,"4,622",+41,"3,433",251,"2,072",76,"55,582","13,776","4,034,667",Europe,483,"13,228",73
60,Ghana,"8,070",+189,36,,"2,947",+106,"5,087",3,260,1,"218,425","7,042","31,016,284",Africa,"3,843","861,563",142
61,Malaysia,"7,857",+38,115,,"6,404",+51,"1,338",8,243,4,"560,738","17,343","32,331,595",Asia,"4,115","281,144",58
62,Morocco,"7,833",+26,205,,"5,893",+434,"1,735",18,212,6,"221,554","6,008","36,874,488",Africa,"4,708","179,876",166
63,Australia,"7,204",+9,102,,"6,619",+5,483,3,283,4,"1,472,220","57,790","25,475,529",Australia/Oceania,"3,536","249,760",17
64,Finland,"6,885",+26,318,,"5,500",,"1,067",9,"1,243",57,"185,484","33,481","5,540,057",Europe,805,"17,422",30
65,Iraq,"6,868",+429,215,+10,"3,275",+119,"3,378",43,171,5,"238,251","5,935","40,142,869",Asia,"5,845","186,711",168
66,Cameroon,"6,397",+493,199,+8,"3,629",+61,"2,569",28,242,8,,,"26,486,666",Africa,"4,140","133,099",
67,Azerbaijan,"5,662",+168,68,+5,"3,508",+80,"2,086",42,559,7,"302,933","29,899","10,131,780",Asia,"1,789","148,997",33
68,Honduras,"5,202",+108,212,+11,537,+1,"4,453",13,526,21,"14,790","1,495","9,891,275",North America,"1,901","46,657",669
69,Sudan,"5,173",+147,298,+12,"1,522",+99,"3,353",,118,7,401,9,"43,758,425",Africa,"8,459","146,840","109,123"
70,Guatemala,"5,087",+348,108,+6,735,+29,"4,244",5,284,6,"31,427","1,757","17,887,052",North America,"3,516","165,621",569
71,Luxembourg,"4,019",+1,110,,"3,845",+12,64,4,"6,429",176,"75,594","120,928","625,114",Europe,156,"5,683",8
72,Tajikistan,"4,013",+83,47,,"2,089",+85,"1,877",,422,5,,,"9,518,744",Asia,"2,372","202,526",
73,Hungary,"3,892",+16,527,+1,"2,156",+9,"1,209",25,403,55,"187,965","19,454","9,662,189",Europe,"2,483","18,334",51
74,Guinea,"3,844",+138,23,,"2,135",+105,"1,686",24,293,2,"14,407","1,100","13,100,435",Africa,"3,408","569,584",909
75,Senegal,"3,739",+94,42,,"1,858",+57,"1,839",14,224,3,"43,129","2,582","16,704,036",Africa,"4,468","397,715",387
76,Uzbekistan,"3,702",+79,15,,"2,859",+22,828,9,111,0.4,"460,000","13,761","33,428,522",Asia,"9,030","2,228,568",73
77,Djibouti,"3,569",+215,24,,"1,521",+17,"2,024",,"3,617",24,"28,260","28,638","986,795",Africa,276,"41,116",35
78,DRC,"3,195",+125,72,,454,+6,"2,669",,36,0.8,,,"89,308,966",Africa,"27,953","1,240,402",
79,Thailand,"3,082",+1,57,,"2,965",+2,60,1,44,0.8,"420,529","6,026","69,786,399",Asia,"22,643","1,224,323",166
80,Ivory Coast,"2,951",+118,33,,"1,467",+32,"1,451",,112,1,"27,650","1,051","26,319,804",Africa,"8,919","797,570",952
81,Greece,"2,918",+1,179,+4,"1,374",,"1,365",12,280,17,"182,423","17,496","10,426,808",Europe,"3,573","58,250",57
82,Gabon,"2,655",,17,,722,,"1,916",15,"1,195",8,"14,122","6,358","2,221,067",Africa,837,"130,651",157
83,El Salvador,"2,582",+65,46,,"1,063",+23,"1,473",53,398,7,"91,837","14,164","6,483,624",North America,"2,511","140,948",71
84,Bosnia and Herzegovina,"2,524",+14,154,+1,"1,888",+26,482,4,769,47,"65,900","20,077","3,282,310",Europe,"1,300","21,314",50
85,Bulgaria,"2,519",+6,140,,"1,090",+16,"1,289",17,362,20,"81,694","11,751","6,952,233",Europe,"2,760","49,659",85
86,North Macedonia,"2,315",+89,140,+7,"1,569",+17,606,21,"1,111",67,"30,302","14,545","2,083,381",Europe,900,"14,881",69
87,Croatia,"2,246",,103,,"2,077",+5,66,4,547,25,"66,695","16,239","4,107,117",Europe,"1,829","39,875",62
88,Haiti,"2,124",+259,44,+3,24,,"2,056",,186,4,"5,244",460,"11,391,042",North America,"5,363","258,887","2,172"
89,Cuba,"2,083",+38,83,,"1,826",+17,174,3,184,7,"107,037","9,450","11,327,141",North America,"5,438","136,472",106
90,Somalia,"2,023",+47,79,+1,361,+13,"1,583",2,128,5,,,"15,852,747",Africa,"7,836","200,668",
91,Kenya,"2,021",+59,69,+5,482,+4,"1,470",7,38,1,"80,054","1,492","53,667,080",Africa,"26,555","777,784",670
92,Mayotte,"1,934",+235,24,+3,"1,473",+88,437,10,"7,104",88,"5,200","19,102","272,228",Africa,141,"11,343",52
93,Estonia,"1,870",+1,68,,"1,625",+1,177,,"1,410",51,"84,156","63,444","1,326,467",Europe,709,"19,507",16
94,Maldives,"1,829",+56,6,+1,488,+35,"1,335",9,"3,389",11,"11,775","21,817","539,729",Asia,295,"89,955",46
95,Kyrgyzstan,"1,817",+69,16,,"1,181",+11,620,4,279,2,"111,859","17,169","6,515,051",Asia,"3,586","407,191",58
96,Nepal,"1,811",+239,8,,221,+1,"1,582",,62,0.3,"185,660","6,382","29,091,863",Asia,"16,064","3,636,483",157
97,Iceland,"1,806",,10,,"1,794",,2,,"5,295",29,"61,138","179,255","341,067",Europe,189,"34,107",6
98,Lithuania,"1,678",+3,70,,"1,236",,372,17,616,26,"304,854","111,876","2,724,919",Europe,"1,624","38,927",9
99,Venezuela,"1,662",+152,17,+3,302,,"1,343",3,58,0.6,"975,825","34,309","28,441,965",South America,"17,113","1,673,057",29
100,Sri Lanka,"1,643",+10,11,+1,811,+10,821,1,77,0.5,"65,355","3,053","21,406,209",Asia,"13,029","1,946,019",328
101,Slovakia,"1,522",+1,28,,"1,368",+2,126,,279,5,"172,875","31,665","5,459,440",Europe,"3,587","194,980",32
102,New Zealand,"1,504",,22,,"1,481",,1,,301,4,"281,609","56,298","5,002,100",Australia/Oceania,"3,326","227,368",18
103,Slovenia,"1,473",,109,+1,"1,358",,6,1,709,52,"80,407","38,677","2,078,916",Europe,"1,411","19,073",26
104,Guinea-Bissau,"1,339",+83,8,,53,+11,"1,278",,682,4,"1,500",764,"1,963,867",Africa,"1,467","245,483","1,309"
105,Mali,"1,315",+50,78,+1,744,+28,493,,65,4,"3,483",172,"20,197,289",Africa,"15,359","258,940","5,799"
106,Equatorial Guinea,"1,306",,12,,200,,"1,094",,934,9,"8,268","5,911","1,398,647",Africa,"1,071","116,554",169
107,Ethiopia,"1,257",+85,12,+1,217,+8,"1,028",4,11,0.1,"112,377",980,"114,708,673",Africa,"91,256","9,559,056","1,021"
108,Lebanon,"1,233",+13,27,,715,+3,491,4,181,4,"84,176","12,329","6,827,705",Asia,"5,537","252,878",81
109,Albania,"1,143",+6,33,,877,+5,233,3,397,11,"14,825","5,151","2,878,035",Europe,"2,518","87,213",194
110,Zambia,"1,089",+32,7,,912,+133,170,1,59,0.4,"28,236","1,540","18,336,926",Africa,"16,838","2,619,561",649
111,Hong Kong,"1,088",+3,4,,"1,037",,47,2,145,0.5,"202,930","27,086","7,492,087",Asia,"6,886","1,873,022",37
112,Tunisia,"1,084",+7,48,,964,+4,72,2,92,4,"52,503","4,446","11,808,514",Africa,"10,893","246,011",225
113,Costa Rica,"1,084",+28,10,,676,+7,398,5,213,2,"26,622","5,230","5,090,350",North America,"4,696","509,035",191
114,CAR,"1,069",+58,4,+2,23,,"1,042",,222,0.8,"15,021","3,115","4,822,593",Africa,"4,511","1,205,648",321
115,Latvia,"1,066",,24,,745,,297,3,565,13,"109,723","58,126","1,887,671",Europe,"1,771","78,653",17
116,Paraguay,995,+9,11,,488,+11,496,2,140,2,"30,004","4,211","7,125,294",South America,"7,161","647,754",237
117,South Sudan,994,,10,,6,,978,,89,0.9,"3,356",300,"11,182,914",Africa,"11,250","1,118,291","3,332"
118,Niger,958,,65,+1,844,+5,49,,40,3,"6,058",251,"24,122,457",Africa,"25,180","371,115","3,982"
119,Cyprus,949,+5,17,,790,,142,4,786,14,"117,411","97,303","1,206,656",Asia,"1,272","70,980",10
120,Sierra Leone,865,+4,46,,475,+21,344,,109,6,,,"7,962,861",Africa,"9,206","173,106",
121,Burkina Faso,847,,53,,720,,74,,41,3,,,"20,851,107",Africa,"24,618","393,417",
122,Madagascar,826,+55,6,,174,+6,646,8,30,0.2,"10,249",371,"27,626,918",Africa,"33,447","4,604,486","2,696"
123,Uruguay,825,+2,23,+1,689,+4,113,4,238,7,"44,551","12,829","3,472,791",South America,"4,209","150,991",78
124,Georgia,794,+11,12,,624,+19,158,6,199,3,"56,987","14,283","3,989,743",Asia,"5,025","332,479",70
125,Chad,790,+12,66,+1,539,+48,185,,48,4,,,"16,382,626",Africa,"20,738","248,222",
126,Andorra,765,+1,51,,698,+4,16,4,"9,902",660,"3,750","48,541","77,255",Europe,101,"1,515",21
127,Nicaragua,759,,35,,370,,354,,115,5,,,"6,618,054",North America,"8,719","189,087",
128,Jordan,746,+7,9,,535,+13,202,5,73,0.9,"193,060","18,937","10,194,886",Asia,"13,666","1,132,765",53
129,Diamond Princess,712,,13,,651,,48,4,,,,,,,,,
130,San Marino,671,,42,,359,+2,270,1,"19,779","1,238","4,485","132,203","33,925",Europe,51,808,8
131,Malta,619,+1,9,,537,+3,73,1,"1,402",20,"69,622","157,711","441,452",Europe,713,"49,050",6
132,Congo,611,,20,,179,,412,,111,4,,,"5,505,940",Africa,"9,011","275,297",
133,Mauritania,588,+58,23,,27,,538,,127,5,"7,654","1,650","4,638,613",Africa,"7,889","201,679",606
134,Jamaica,586,+5,9,,311,+21,266,2,198,3,"12,702","4,291","2,960,152",North America,"5,051","328,906",233
135,Channel Islands,560,,45,,528,+13,-13,,"3,223",259,"10,255","59,027","173,733",Europe,310,"3,861",17
136,Tanzania,509,,21,,183,,305,7,9,0.4,,,"59,578,342",Africa,"117,050","2,837,064",
137,French Guiana,499,,1,,200,,298,2,"1,675",3,,,"297,984",South America,597,"297,984",
138,Sao Tome and Principe,484,+1,12,,68,,404,,"2,212",55,175,800,"218,809",Africa,452,"18,234","1,250"
139,Réunion,473,+2,1,,411,,61,1,529,1,"17,200","19,222","894,801",Africa,"1,892","894,801",52
