"Country","Days","First","Last"
"Albania",26,2020-03-09,2020-04-03
"Argentina",4,2020-03-31,2020-04-03
"Armenia",3,2020-04-01,2020-04-03
"Austria",40,2020-02-25,2020-04-04
"Bahrain",3,2020-04-01,2020-04-03
"Bangladesh",1,2020-04-03,2020-04-03
"Belgium",17,2020-03-18,2020-04-03
"Belize",4,2020-03-31,2020-04-03
"Bhutan",2,2020-04-02,2020-04-03
"Bolivia (Plurinational State of)",3,2020-04-01,2020-04-03
"Canada",13,2020-03-22,2020-04-03
"Czechia",68,2020-01-27,2020-04-03
"Denmark",36,2020-02-27,2020-04-02
"Ecuador",15,2020-03-18,2020-04-01
"Estonia",3,2020-04-01,2020-04-03
"Finland",5,2020-03-30,2020-04-03
"France",21,2020-02-24,2020-03-15
"Germany",28,2020-03-02,2020-03-29
"Hungary",30,2020-03-05,2020-04-03
"Iceland",63,2020-02-01,2020-04-03
"India",11,2020-03-24,2020-04-03
"Italy",40,2020-02-24,2020-04-03
"Japan",47,2020-02-10,2020-03-27
"Korea, Republic of",60,2020-02-05,2020-04-04
"Latvia",3,2020-04-01,2020-04-03
"Lithuania",12,2020-03-23,2020-04-03
"Malaysia",3,2020-04-01,2020-04-03
"Malta",20,2020-03-08,2020-03-27
"Nepal",3,2020-03-31,2020-04-02
"Netherlands",10,2020-03-24,2020-04-02
"New Zealand",1,2020-04-03,2020-04-03
"North Macedonia",10,2020-03-22,2020-03-31
"Norway",18,2020-03-16,2020-04-02
"Pakistan",1,2020-04-03,2020-04-03
"Philippines",2,2020-04-02,2020-04-03
"Poland",31,2020-03-03,2020-04-02
"Romania",21,2020-03-14,2020-04-03
"Slovakia",39,2020-02-24,2020-04-02
"Slovenia",32,2020-03-03,2020-04-03
"South Africa",1,2020-04-03,2020-04-03
"Taiwan, Province of China",2,2020-04-02,2020-04-03
"Turkey",3,2020-04-01,2020-04-03
"Uganda",8,2020-03-27,2020-04-03
"United Arab Emirates",66,2020-01-29,2020-04-03
"United Kingdom of Great Britain and Northern Ireland",70,2020-01-25,2020-04-03
"United States of America",76,2020-01-18,2020-04-02
"Viet Nam",2,2020-04-02,2020-04-03
